ts	phase	decision	why	evidence	result
2026-09-04T23:15:00Z	early-save-sub-window-buffering	allowed saving replay during Buffering state whenever >=1s buffered	eliminate buffer not ready rejection and allow clipping early before full retention window accumulates	crates/app-controller/src/controller.rs, crates/recorder-engine/src/engine.rs, crates/replay-buffer/src/buffer.rs	tests & clippy green
2026-09-04T23:30:00Z	single-instance-mutex-and-save-debounce	enforced single-instance Win32 named mutex at startup and debounced duplicate save requests	eliminate dual-process file clobbering where simultaneous saves write to the same .part file causing Mp4Reader parse errors	apps/desktop/src-tauri/src/main.rs, apps/desktop/src-tauri/src/shell.rs	tests & clippy green
2026-09-05T19:00:00Z	tauri-protocol-asset-and-media-csp	enabled protocol-asset feature in Tauri and configured media-src CSP and assetProtocol scope	allow HTML5 video tag to stream local MP4 clips via asset protocol with HTTP 206 Range support, eliminating false HEVC decode errors on AVC clips	apps/desktop/src-tauri/Cargo.toml, apps/desktop/src-tauri/tauri.conf.json	typecheck, lint, and build green
2026-09-05T21:30:00Z	automatic-multi-track-audio-mixing	automatically downmixed and linked all active audio tracks in Web Audio API on clip open with dedicated in-player mixer	ensure all toggled audio tracks (Game + Mic + Discord + Music) are heard simultaneously during playback with independent volume and mute controls	apps/desktop/src/ClipPlayerModal.tsx:initDiscreteAudioMixer, crates/muxer/src/mp4_muxer.rs:audio_indices	tests & clippy green
2026-09-05T23:30:00Z	custom-frameless-titlebar-and-fullscreen-contain	replaced native OS title bar with sleek frameless TitleBar and fixed fullscreen overflow	give Silk a modern gaming UI with drag region, live buffer status dot, native window controls, and perfect 16:9 contained fullscreen scaling	apps/desktop/src/TitleBar.tsx, apps/desktop/src-tauri/tauri.conf.json, apps/desktop/src/App.css	typecheck, lint, and build green

2026-09-06T01:30:00Z	sleek-titlebar-redesign-and-window-permissions	granted core:window dragging/minimize/maximize/close permissions and redesigned custom titlebar	fix broken window dragging and unresponsive caption buttons in Tauri v2, giving Silk an ultra-sleek minimalist titlebar	apps/desktop/src-tauri/capabilities/default.json, apps/desktop/src/TitleBar.tsx, apps/desktop/src/App.css	tests & clippy green
2026-09-06T03:30:00Z	direct-window-ipc-and-intermittent-audio-sync	implemented native Tauri window control commands and fixed voice-chat/Discord audio gaps in muxer and audio-sync	fix non-responsive window buttons and prevent voice chat (Discord) from sounding choppy or killing audio worker on speech pauses	apps/desktop/src-tauri/src/main.rs, crates/muxer/src/mp4_muxer.rs, crates/audio-sync/src/lib.rs, crates/recorder-engine/src/engine.rs	all 440+ tests & clippy green
2026-09-06T20:20:00Z	settings-header-button-cleanup	removed Offline by design and Silk for Windows badges, placing solely the sleek Settings button in topbar-meta	fulfill user request to replace promotional/meta badges with direct Settings button in top header	apps/desktop/src/App.tsx:topbar-meta	typecheck, lint, and build green
2026-09-08T01:30:00Z	preserve-configured-audio-track-order	removed artificial mic sort in mp4_muxer and sequentialized audio labels in player UI	ensure user's configured audio tracks order (Mic as track 1) is strictly respected in MP4 output and labeled Audio 1..N instead of raw container track IDs	crates/muxer/src/mp4_muxer.rs, apps/desktop/src-tauri/src/main.rs, apps/desktop/src/ClipPlayerModal.tsx	all 440+ tests & clippy green
2026-09-08T02:00:00Z	dynamic-theme-reactive-app-icons	implemented dynamic taskbar and tray icon generator matching active theme colors	instantly swap live taskbar and tray icons to Butter Yellow (Classic), Spiced Harvest Orange (Autumn Ember), or Crimson (Vamp) on theme change	apps/desktop/src-tauri/src/theme_icon.rs, apps/desktop/src/App.tsx, apps/desktop/src/ipc.ts	all 440+ tests & clippy green
2026-09-08T02:35:00Z	zero-window-scroll-adaptive-desktop-layout	fixed window height to 100vh with flex column layout and internal clip-list scroll	eliminate window-level scrollbars so the app automatically resizes and flexes to fit any monitor without window scrolling	apps/desktop/src/App.css, apps/desktop/src-tauri/tauri.conf.json	all 440+ tests & clippy green
2026-09-08T02:50:00Z	modern-clip-library-grid-and-list-upgrade	added 16:9 visual card grid with duration badges, live search, sorting, and game filter pills	transform clip library into modern gaming gallery (Medal/YouTube style) with responsive grid, hover play, instant search, and list view toggle	apps/desktop/src/App.tsx, apps/desktop/src/ClipThumbnail.tsx, apps/desktop/src/App.css	all 440+ tests & clippy green
2026-09-08T03:15:00Z	thumbnail-first-cards-and-inline-double-click-rename	streamlined grid cards to thumbnail-first with favorite star and added inline double-click title renaming	eliminate cluttered buttons on preview cards and remove ugly tauri.localhost prompt alerts in favor of native inline editing	apps/desktop/src/App.tsx, apps/desktop/src/App.css	all 440+ tests & clippy green
2026-09-08T03:30:00Z	isolate-player-open-to-thumbnail-and-restore-frame-preview	restricted open-player action strictly to thumbnail clicks and restored video frame painting via onLoadedMetadata seek	prevent single clicks on title from prematurely launching player during double-click rename, and ensure thumbnails paint reliably	apps/desktop/src/ClipThumbnail.tsx, apps/desktop/src/App.tsx, apps/desktop/src/App.css	all 440+ tests & clippy green
2026-09-08T03:45:00Z	card-trashcan-delete-button	added tiny trashcan delete button directly next to favorite star on cards and list rows	allow fast one-click clip deletion directly from the library cards with confirmation safety and hover danger styling	apps/desktop/src/App.tsx, apps/desktop/src/App.css	all 440+ tests & clippy green
2026-09-08T04:15:00Z	fullscreen-widescreen-card-grid-expansion	expanded app shell to 100% full width and configured maximized window launch with 320px cards	maximize screen real estate, displaying 5-8 large 16:9 video preview cards per row with clear titles, stars, and trashcans	apps/desktop/src-tauri/tauri.conf.json, apps/desktop/src/App.css, apps/desktop/src/ClipThumbnail.tsx	all 440+ tests & clippy green
2026-09-08T05:00:00Z	media-player-seeking-throttle-and-zero-lag-cleanup	implemented fastSeek with requestAnimationFrame throttling, decoupled audio seeking, unmount hardware cleanup, and async audio extraction	eliminate video player lag and pipeline stalls when skipping around clips and prevent background decoding lag when closing player	apps/desktop/src/ClipPlayerModal.tsx, apps/desktop/src-tauri/src/main.rs, docs/evidence/screenshots/	all 440+ tests & clippy green
2026-09-08T05:30:00Z	video-stage-direct-fullscreen-and-audio-sync-lock	direct fullscreen on video stage with sleek symbol button and event-driven audio-seeking lock on video seeked/waiting	video fills 100% of screen in theater/standard with floating controls, and audio waits for video frame decode on seeks to prevent desync	apps/desktop/src/ClipPlayerModal.tsx, apps/desktop/src/App.css	all 440+ tests & clippy green
2026-09-08T06:00:00Z	theater-mode-titlebar-clearance-and-theme-buttons	anchored modal backdrop below 32px titlebar and styled player buttons with theme accent tokens	prevent titlebar collision in theater mode, eliminate bottom overflow, and replace grey buttons with glowing theme colors	apps/desktop/src/ClipPlayerModal.tsx, apps/desktop/src/App.css	all 440+ tests & clippy green
2026-09-08T06:30:00Z	kill-horizontal-scrollbar-and-theater-viewport-fit	eliminated 100vw width bleed, added webkit-scrollbar:horizontal display:none, and constrained theater video viewport height	permanently kill white/black horizontal scrollbar at screen bottom and ensure audio mixer, scrub bar, and controls never get cut off in theater mode	apps/desktop/src/App.css, docs/evidence/screenshots/	all 440+ tests & clippy green
2026-09-08T07:00:00Z	universal-horizontal-scrollbar-suppression-and-mixer-cards-fit	added universal *::-webkit-scrollbar:horizontal display:none, set body dark background in index.html, and scaled theater viewport to calc(100vh - 380px)	completely eliminate native white horizontal scrollbar on fullscreen exit and ensure all discrete audio cards and volume sliders are 100% visible on screen without scrolling	apps/desktop/index.html, apps/desktop/src/App.css, docs/evidence/screenshots/	all 440+ tests & clippy green
2026-09-08T07:30:00Z	native-tauri-fullscreen-and-dark-brush-lock	replaced DOM requestFullscreen with native win.set_fullscreen and set Win32 window brush to theme background	fix Chromium DWM window rect desync upon exiting fullscreen where parent HWND was stuck at 1440px exposing white 48px band over taskbar	apps/desktop/src-tauri/src/main.rs, apps/desktop/src/ClipPlayerModal.tsx, apps/desktop/src-tauri/capabilities/default.json	all 440+ tests & clippy green
2026-09-08T08:00:00Z	workarea-snapping-fullscreen-exit-zero-gap	snapped Win32 window rect directly to SPI_GETWORKAREA on fullscreen exit with SetWindowPos SWP_FRAMECHANGED | SWP_NOZORDER | SWP_NOACTIVATE	permanently eliminate the bottom gap on fullscreen exit so the window perfectly fits the work area with zero bars or gaps	apps/desktop/src-tauri/src/main.rs, scripts/query-win32-rects.ps1, scripts/test-fullscreen-rects.mjs	all 440+ tests & clippy green
2026-09-08T08:30:00Z	silk-studio-brand-theme-and-legacy-rename	added default Silk Studio obsidian-violet (#09090c) and electric purple (#a855f7) theme and renamed butter yellow to Silk (Legacy)	align desktop client visuals with the official Silk Studio website and make electric purple the default aesthetic	crates/configuration/src/model.rs, apps/desktop/src/App.css, apps/desktop/src/SettingsModal.tsx, apps/desktop/src-tauri/src/theme_icon.rs	all 440+ tests & clippy green
2026-09-08T09:00:00Z	wasapi-loopback-silence-synthesis-and-monotonic-qpc	synthesized 50ms silence frames on WASAPI wait timeout with live QueryPerformanceCounter and eliminated silence timeline freezing	prevent loopback devices from halting timestamps during silence, preserve natural pauses in voice/speech, and keep all audio tracks synchronized and preserved in replay buffer	crates/audio-wasapi/src/native.rs, crates/audio-wasapi/Cargo.toml	all 440+ tests & clippy green
2026-09-08T09:30:00Z	theme-reactive-squircle-app-icons	implemented rounded squircle icon container with dark theme gradient, glowing border, and theme-reactive pixel replay arrows	match website header icon across in-app titlebar, dynamic Windows taskbar, system tray, and static bundle icon assets	apps/desktop/src-tauri/src/theme_icon.rs, apps/desktop/src/App.css, apps/desktop/src-tauri/icons/	all 440+ tests & clippy green
